,text,Filename,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Num_Words,label,Trust,error,Pid1,Pid2,ER_Pid,ER_language,ER_gender,Duration,Min_Pitch,Max_Pitch,Mean_Pitch,SD_Pitch,Median_Pitch,MAS_F0,VCD2TOT_Frames,Min_Intensity,Max_Intensity,Mean_Intensity,SD_Intensity,Median_Intensity,Jitter,Shimmer,HNR,Speaking_Rate,lexicon_count,reading_ease,fernandez_huertta,syble,gunning,inse,automated,freq_complex_word,difficult,dale,coleman,smog,kincaid,flesch,freq_long_word,Polysyllable_count,sent_count,i,Pronoun,Ipron,Article,Conj,Adj,Interrog,Drives,Bio,Health,nonflu,Affiliation,Achieve,Focuspresent,Relativ,Space,prob_rf_f,prob_rf_t,prob_gau_f,prob_gau_t
10,no okay um have you who ended your last romantic relationship,p326p327-part1_ch2_245.674780_253.788660_q8_T_F,8.113877551,75.00301546,560.643925,155.6381943,47.89102649,156.3871998,251.9253039,0.42450495,26.48799315,74.02787285,63.48539761,13.2681821,58.2040723,0.01732316,0.044039725,17.46545567,1.355701997,11,1,FALSE,1,326,327,326,English,Female,1.6555,-0.9018,1.0632,-0.8897,-0.118,-0.8023,-0.7258,-0.8127,-0.6316,0.2015,-0.1135,0.7935,-0.0833,-0.4144,-1.0633,0.7452,-1.4045,11,68.77,105.6,17,11.67,6.5,5.9,8.49,3,8.49,8.45,0,6.4,68.77,0.181818182,2,1,0,0.272727273,0.090909091,0,0,0,0.090909091,0.181818182,0,0,0.090909091,0.181818182,0,0.090909091,0.181818182,0,0.79,0.21,0.10,0.90
11,was it a difficult decision,p234p235-part1_ch2_271.226100_273.126100_q14_T_F,1.9,74.95315254,563.0907788,94.1313905,65.29269225,79.20333072,610.6014165,0.304812834,18.80966681,64.24244772,57.60787955,14.57153398,53.65458802,0.04967892,0.140689249,5.68093919,2.631578947,5,1,FALSE,1,234,235,234,English,Male,-0.256,-0.372,1.4429,-0.6975,0.6389,-0.7594,0.3199,-1.1869,-1.2372,-0.8753,-0.8184,1.0172,-0.4387,1.5347,1.0304,-1.4598,-0.5681,5,49.48,93.8,9,18,3.5,2.7,10.2,2,10.2,4.96,0,7.6,49.48,0.4,2,1,0,0.2,0.2,0.2,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0.72,0.28,0.18,0.82
12,mhmm have you ever tweeted do you have a twitter,p246p247-part2_ch1_247.011980_254.396670_q8_T_T,7.384693878,58.63350163,523.0482824,214.5184353,76.65110713,213.8608649,410.3872317,0.212244898,22.96234293,81.19772946,62.33787823,16.93252543,26.84508235,0.021084116,0.083896752,17.22867306,1.354152273,10,0,TRUE,1,246,247,247,English,Female,1.4368,-1.2836,0.8449,0.2471,0.6789,0.2529,-0.3898,-1.8563,-0.9527,1.0433,-0.2597,1.6946,-2.9704,-0.1157,0.0311,0.6894,-1.4056,10,78.25,112.7,14,4,4,1.9,8.87,3,8.87,3.86,0,4.8,78.25,0.2,0,1,0,0.2,0,0.1,0,0,0,0.2,0,0,0,0.2,0,0.3,0.1,0,0.29,0.71,0.08,0.92
13,why physics,p262p263-part2_ch1_10.967150_11.925030_q21_F_F,0.957891156,82.41083749,439.3089478,226.1282545,85.20605438,218.615155,1901.480241,0.336956522,32.10120945,76.08876058,68.26902376,11.63210499,61.17702855,0.036520399,0.086573646,9.374409513,2.087919892,2,1,FALSE,1,262,263,263,English,Female,-0.4904,-0.7291,0.3587,0.4712,0.9159,0.3401,2.7728,-1.2432,-0.1205,0.4434,0.4959,0.3912,0.1904,1.1102,0.1046,-1.1599,-0.9061,2,120.21,144.8,2,0.8,0,3.1,0.1,0,0.1,-1.61,0,-3.1,120.21,0.5,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.86,0.14,0.52,0.48
14,how old is he,p358p359-part2_ch1_69.943140_70.789160_q12_F_T,0.84600907,167.64606,591.0088373,215.2824486,87.5888612,191.4391763,1228.829067,0.75308642,45.50798885,68.68515936,63.19381232,5.5002138,60.76079929,0.019495592,0.069110685,13.97777651,4.728081696,4,0,TRUE,1,358,359,359,English,Female,-0.5239,1.2589,1.2396,0.2618,0.982,-0.1588,1.3461,0.8027,1.1003,-0.4258,-0.1506,-1.1166,0.1521,-0.2419,-0.3749,-0.076,0.8912,4,118.18,142.8,4,1.6,1,-7.8,0.2,0,0.2,-8.71,0,-2.3,118.18,0,0,1,0,0.25,0,0,0.25,0,0.25,0,0,0,0,0,0,0.25,0.25,0,0.38,0.62,0.52,0.48
15,what- uh what were you fighting about,p516p517-part1_ch2_608.190174_609.312080_q12_T_F,1.121904762,87.46136956,112.523677,101.7981641,6.023516853,102.4028092,113.9902957,0.752293578,24.5847561,76.77664416,71.85592144,10.26216886,70.44290107,0.019409524,0.066124848,13.61531745,6.239388795,7,1,FALSE,1,516,517,516,English,Male,-0.4894,-0.0802,-1.1735,-0.5495,-1.0033,-0.3335,-0.7333,1.0131,-0.7113,0.5964,0.9966,-0.0425,1.1069,-0.8692,-1.017,0.4084,1.8879,7,106.67,133.7,8,2.8,2.5,2.9,6.24,1,6.24,4.94,0,0.1,106.67,0.125,0,1,0,0.375,0.25,0,0,0,0.25,0,0,0,0.125,0,0,0,0,0,0.78,0.22,0.47,0.53
16,mhm,p340p341-part2_ch1_276.895560_277.621510_q17_T_F,0.725941043,117.4748256,246.7232452,177.3797373,33.91179942,182.1024713,310.0303977,0.652173913,17.79155396,65.04717023,60.60390504,16.05349297,56.03548058,0.017569392,0.051350264,19.87565146,1.377522334,1,1,FALSE,1,340,341,341,English,Female,-0.5599,0.0887,-0.7597,-0.47,-0.5053,-0.3302,-0.6026,0.3066,-1.4235,-0.853,-0.4805,1.4784,-0.2829,-0.3949,-0.8626,1.3127,-1.3897,1,121.22,145.8,1,0.4,-0.5,-6.9,0.05,0,0.05,-28.01,0,-3.5,121.22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.1,0.55,0.45
17,who was the last person you were in a physical fight with,p354p355-part2_ch1_230.266780_232.084900_q24_F_T,1.818117914,84.86163003,573.1358527,113.3451224,47.50570683,109.2022529,484.2439612,0.556179775,17.70051624,75.68664127,63.50387488,9.637727609,59.46744037,0.022343031,0.111640975,11.02581527,6.600231981,12,0,TRUE,1,354,355,355,English,Male,-0.2806,-0.1409,1.5012,-0.3265,0.1461,-0.2086,0.0519,0.0489,-1.3382,0.4684,-0.0673,-0.1961,0.0965,-0.6362,0.2328,-0.2013,2.1335,12,84.68,116.6,15,8.13,6,2.6,5.55,1,5.55,4.05,0,4.4,84.68,0.083333333,1,1,0,0.166666667,0.083333333,0.166666667,0,0.083333333,0.083333333,0,0.083333333,0.083333333,0,0,0,0,0.166666667,0.083333333,0.44,0.56,0.31,0.69
18,understood huh did that get you in trouble with the police at all,p426p427-part1_ch2_434.318050_439.278050_q12_F_T,4.96,69.63777866,596.567831,159.408246,62.94161622,150.041804,421.8526098,0.52535497,25.47594635,82.29890633,70.36309818,14.54528667,64.77189257,0.018519308,0.099280758,17.11211075,2.620967742,13,0,TRUE,1,426,427,426,English,Male,0.6615,-0.496,1.6373,0.5628,0.5738,0.5411,-0.0804,-0.1027,-0.6302,1.2448,0.8065,1.0107,0.5848,-0.9399,-0.1066,1.2318,-0.5753,13,83.66,115.6,17,8.28,6.5,4.3,5.5,1,5.5,5.5,0,4.8,83.66,0.153846154,1,1,0,0.153846154,0.076923077,0.076923077,0,0,0,0.230769231,0,0,0.076923077,0,0,0.076923077,0.153846154,0.153846154,0.19,0.81,0.40,0.60
19,did you ever cheat on a high school test,p304p305-part1_ch2_506.874150_508.548420_q22_F_T,1.674263039,79.49815466,550.4693919,183.9247199,85.95376609,172.0006779,1502.089728,0.603658537,39.93086426,68.41905635,62.07424404,6.473548792,60.80800161,0.020817577,0.099808581,8.769570602,5.375499424,9,0,TRUE,1,304,305,304,English,Female,-0.2755,-0.797,1.0042,-0.3436,0.9367,-0.5156,1.9257,0.068,0.5925,-0.4571,-0.2932,-0.8773,0.1564,-0.1369,0.4681,-1.3023,1.3319,9,104.64,131.7,10,3.6,3.5,-0.3,0.45,0,0.45,1.59,0,0.9,104.64,0,0,1,0,0.111111111,0,0.111111111,0,0.111111111,0,0.222222222,0,0,0,0,0.111111111,0,0.333333333,0.222222222,0.13,0.87,0.41,0.59
20,what did you buy ha,p330p331-part2_ch1_54.858710_56.153640_q10_F_T,1.294920635,77.22323519,231.7644375,146.0746173,55.80080902,104.8628181,264.3870159,0.571428571,31.14871034,74.02132526,65.45460645,7.274474076,61.35602329,0.027988227,0.141066099,10.08637097,3.8612405,5,0,TRUE,1,330,331,331,English,Female,-0.3893,-0.8501,-0.8465,-1.0744,0.1012,-1.7482,-0.6994,-0.0904,-0.2072,0.2007,0.1374,-0.6803,0.2069,0.4326,1.6009,-0.9923,0.3011,5,117.16,141.8,5,2,1.5,-4.9,0.25,0,0.25,-4.33,0,-1.9,117.16,0,0,1,0,0.4,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.13,0.87,0.48,0.52
21,um then what do you use to to you know talk to your friends and stuff,p240p241-part2_ch1_7.695490_12.655490_q9_F_T,4.96,92.10675342,282.4492754,213.5024415,33.62477901,212.8129456,199.2029785,0.614604462,27.84230623,73.37613709,65.61483218,13.82158448,63.62336305,0.0131201,0.048436653,19.73258983,3.225806452,16,0,TRUE,1,240,241,241,English,Female,0.7097,-0.5029,-0.5522,0.2275,-0.5132,0.2336,-0.8377,0.1219,-0.5083,0.1249,0.1578,0.9296,0.4156,-0.7482,-0.9426,1.279,-0.1315,16,106,130.5,16,6.4,7,2.5,0.79,0,0.79,2.03,0,2.4,106,0.0625,0,1,0,0.3125,0.125,0,0.125,0,0.0625,0.0625,0,0,0.0625,0.0625,0,0.4375,0.0625,0,0.18,0.82,0.53,0.47
22,uh okay um uh do you own an e reader,p434p435-part2_ch1_168.257340_176.120030_q8_T_T,7.862698413,76.70873853,588.2181412,101.1726614,40.75640408,96.32794204,260.0022998,0.20945083,19.40619586,79.69406626,63.79176392,17.71624617,31.99115668,0.03648565,0.091373042,11.63930838,1.271828,10,0,TRUE,1,434,435,435,English,Male,1.532,-0.331,1.5888,-0.5615,-0.0409,-0.445,-0.4237,-1.6558,-1.1829,0.9389,-0.0306,1.7904,-2.4332,0.4869,-0.3238,-0.0568,-1.4937,10,103.63,130.7,11,4,4,-3.8,0.5,0,0.5,-3.11,0,1.3,103.63,0,0,1,0,0.1,0,0.1,0,0,0,0,0,0,0.3,0,0,0.1,0,0,0.07,0.93,0.23,0.77
23,okay uh what do you think are the main reasons that their marriage is so strong,p368p369-part1_ch2_204.095771_207.765771_q5_T_F,3.67,94.30542545,590.9165836,131.6369865,69.958683,117.1217507,460.3478441,0.57967033,21.58907695,77.95264438,66.13657131,14.36780049,61.91411947,0.026949182,0.111693281,11.55215381,4.359673025,16,1,FALSE,1,368,369,368,English,Male,0.2747,0.0794,1.6045,0.0266,0.7682,-0.0633,0.0013,0.1644,-0.9841,0.7345,0.2681,0.9671,0.3217,-0.2704,0.2342,-0.0774,0.6083,16,97.54,124.5,18,6.4,7,5.4,5.42,1,5.42,5.62,0,3.6,97.54,0.125,0,1,0,0.25,0.125,0.0625,0.0625,0.0625,0.0625,0.125,0,0,0.0625,0.0625,0,0.25,0,0,0.53,0.47,0.41,0.59
24,what kind of trouble was it,p516p517-part2_ch1_842.518728_843.483771_q13_F_F,0.965034014,88.72149388,463.4316478,135.3748534,86.49534424,113.179502,925.1258041,0.494623656,41.48350779,78.49190127,70.18486717,7.287136527,68.79216963,0.044176917,0.136543486,6.958711161,6.217397434,6,1,FALSE,1,516,517,517,English,Male,-0.5364,-0.0509,0.8642,0.0988,1.2264,-0.1356,0.987,-0.2538,0.8275,0.7978,0.7838,-0.7741,0.955,1.0978,0.9166,-1.1589,1.8729,6,99.23,128.7,7,2.4,2,-1.2,0.3,0,0.3,0.45,0,0.9,99.23,0.166666667,0,1,0,0.333333333,0.333333333,0,0,0,0.166666667,0.166666667,0,0,0,0,0,0,0,0,0.8,0.2,0.44,0.56
25,uh ah where were you born,p234p235-part2_ch1_109.597190_111.277190_q4_F_T,1.68,75.10661092,192.3654662,161.0713365,16.80059275,162.084639,250.8482622,0.721212121,40.77369212,73.44140621,69.95350636,7.962197753,70.69090657,0.016088112,0.038003806,18.92724439,3.571428571,6,0,TRUE,1,234,235,235,English,Female,-0.2738,-0.8994,-1.0753,-0.7848,-0.9794,-0.6977,-0.7281,0.646,0.6692,0.1326,0.7105,-0.5112,1.0663,-0.5125,-1.229,1.0894,0.1038,6,116.15,140.7,6,2.4,2,-2.8,0.3,0,0.3,-1.53,0,-1.5,116.15,0,0,1,0,0.166666667,0,0,0,0,0.166666667,0,0,0,0.333333333,0,0,0,0.333333333,0.166666667,0.09,0.91,0.57,0.43
26,k um which type whats an ereader,p348p349-part1_ch2_178.598800_182.361700_q11_T_T,3.762902494,104.0997238,598.9417116,268.5592742,77.71789094,253.9039499,530.148859,0.225201072,28.01572322,70.98999706,58.00269032,11.5775436,44.41738064,0.02539952,0.083101289,10.79285629,1.860266114,7,0,TRUE,1,348,349,348,English,Female,0.3508,-0.2232,1.2856,1.2904,0.7085,0.988,-0.1357,-1.7926,-0.4925,-0.1552,-0.8119,0.3778,-1.3526,0.227,0.0093,-0.8259,-1.061,7,106.67,133.7,8,2.8,2.5,-0.6,6.24,1,6.24,1.57,0,0.1,106.67,0.142857143,0,1,0,0.285714286,0.285714286,0.142857143,0,0,0.142857143,0,0,0,0.142857143,0,0,0.142857143,0,0,0.35,0.65,0.34,0.66
27,mm okay,p500p501-part2_ch1_318.471790_319.013050_q8_T_F,0.541269841,112.5110559,200.0957429,143.8102574,15.05965312,141.9515817,357.8627262,0.803921569,47.8689527,70.18245673,67.38374263,5.851988175,67.76962909,0.034716667,0.203470906,11.92232929,3.695014663,2,1,FALSE,1,500,501,501,English,Male,-0.6635,0.504,-0.665,0.2617,-0.7529,0.3926,-0.2161,1.2669,1.4089,-0.1778,0.4269,-1.127,0.8608,0.3464,2.7543,0.0098,0.1559,2,120.21,144.8,2,0.8,0,-6.4,0.1,0,0.1,-13.21,0,-3.1,120.21,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.8,0.2,0.59,0.41
28,you just do you have a dog,p448p449-part1_ch2_561.267011_562.283011_q22_F_T,1.01600907,78.84404332,171.4743369,108.3494184,14.76907744,103.6482842,346.6065102,0.785714286,41.26656374,71.70750956,65.24590651,7.148000728,60.24839462,0.035763595,0.104831337,10.07266901,6.889702272,7,0,TRUE,1,448,449,448,English,Male,-0.5211,-0.2812,-0.8312,-0.423,-0.761,-0.3106,-0.24,1.1774,0.8077,0.0012,0.1546,-0.8083,0.1684,0.4296,0.0458,-0.4257,2.3306,7,115.13,139.7,7,2.8,2.5,-4.6,0.35,0,0.35,-3.37,0,-1.2,115.13,0,0,1,0,0.285714286,0,0.142857143,0,0,0,0,0,0,0,0,0,0.285714286,0,0,0.11,0.89,0.47,0.53
29,has she always been a special needs teacher what did she did she go to college what did she get her degree in,p246p247-part1_ch2_63.467086_70.997086_q3_F_T,7.53,89.65557942,594.3608183,201.6399092,48.99718339,198.928335,384.9519014,0.504,22.02652264,74.2620206,64.53157038,15.66306275,57.77857137,0.020691133,0.077860972,16.03519316,3.054448871,23,0,TRUE,1,246,247,246,English,Female,1.4804,-0.5601,1.259,-0.0016,-0.0873,-0.0213,-0.4437,-0.4219,-1.0379,0.229,0.0198,1.3824,-0.1225,-0.1469,-0.1346,0.4084,-0.2481,23,81.97,111.4,28,9.2,11.5,7.9,6.15,2,6.15,4.94,0,7.5,81.97,0.130434783,0,1,0,0.304347826,0.086956522,0.043478261,0,0.043478261,0.086956522,0.086956522,0,0,0,0,0,0.217391304,0.130434783,0.043478261,0.11,0.89,0.32,0.68
30,wow that's awesome,p262p263-part2_ch1_96.532800_98.064500_q2_F_T,1.53170068,103.8787487,249.921834,195.660537,32.33734205,197.5545468,421.4902027,0.353333333,26.76695818,73.94292862,65.4717293,14.74090887,55.0106288,0.031569124,0.051453556,11.03087338,1.958607213,3,0,TRUE,1,262,263,263,English,Female,-0.3183,-0.2284,-0.7411,-0.117,-0.5489,-0.0465,-0.3662,-1.1626,-0.6062,0.1915,0.1396,1.1557,-0.3773,0.717,-0.8597,-0.7699,-0.9941,3,93.81,125.8,4,1.2,0.5,11.5,9.05,1,9.05,3.43,0,0.9,93.81,0.142857143,0,1,0,0.142857143,0.142857143,0,0,0.142857143,0,0,0,0,0,0,0,0.142857143,0,0,0.2,0.8,0.44,0.56
31,alright um do you currently own a tennis racket,p474p475-part1_ch2_493.059660_495.972140_q18_T_F,2.912471655,76.39555889,558.2723981,125.3484571,94.19125888,101.919815,415.7857075,0.350694444,20.67534903,66.73363078,59.40805149,13.31980597,52.88696763,0.025050008,0.091402612,8.771163003,3.090158829,9,1,FALSE,1,474,475,474,English,Male,0.0476,-0.3383,1.4149,-0.0948,1.4396,-0.3423,-0.0933,-0.9614,-1.0673,-0.5828,-0.5891,0.7094,-0.5094,-0.4213,-0.3229,-0.7322,-0.2559,9,62.34,101.7,14,8.04,4.5,3.5,9.35,3,9.35,6.06,0,6.8,62.34,0.222222222,1,1,0,0.111111111,0,0.111111111,0,0,0,0,0,0,0.111111111,0,0,0.222222222,0.111111111,0,0.8,0.2,0.17,0.83
32,okay,p226p227-part1_ch2_380.313780_380.693780_q15_F_F,0.38,96.20705427,125.2460356,110.4471471,8.183316152,107.9102416,320.9363009,0.514285714,41.14245869,63.56461343,58.93976763,6.897565862,56.86702909,0.067630651,0.199734475,6.794186079,2.631578947,1,1,FALSE,1,226,227,226,English,Male,-0.7118,0.1237,-1.0996,-0.3825,-0.9435,-0.2324,-0.2944,-0.1571,0.7964,-0.9549,-0.6487,-0.8699,-0.1429,2.9604,2.6517,-1.1977,-0.5681,1,121.22,145.8,1,0.4,-0.5,-2.2,0.05,0,0.05,-22.21,0,-3.5,121.22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.4,0.61,0.39
33,youre in your uh the s- first year alright,p464p465-part2_ch1_761.449930_765.869930_q21_F_T,4.42,75.35712401,523.1118874,97.18858682,38.7051301,91.46005244,312.0131894,0.59453303,20.93133506,64.68589726,56.900343,9.075434132,54.12325528,0.022741666,0.062123707,10.98942503,2.036199095,9,0,TRUE,1,464,465,465,English,Male,0.4996,-0.3626,1.2107,-0.6385,-0.0978,-0.5344,-0.3134,0.2374,-1.044,-0.8232,-0.9085,-0.3343,-0.3955,-0.6046,-1.1269,-0.2099,-0.9733,9,104.64,131.7,10,3.6,3.5,0.9,5.84,1,5.84,2.23,0,0.9,104.64,0.1,0,1,0,0.2,0,0.1,0,0,0,0.1,0,0,0.1,0,0.1,0.1,0.3,0.1,0.59,0.41,0.41,0.59
