,X,Filename,text,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Num_Words,Trust,Pid1,Pid2,ER_Pid,ER_gender,ER_language,Duration,Min_Pitch,Max_Pitch,Mean_Pitch,SD_Pitch,Median_Pitch,MAS_F0,VCD2TOT_Frames,Min_Intensity,Max_Intensity,Mean_Intensity,SD_Intensity,Median_Intensity,Jitter,Shimmer,HNR,Speaking_Rate,lexicon_count,freq_long_word,freq_complex_word,reading_ease,Polysyllable_count,sent_count,fernandez_huertta,syble,gunning,inse,difficult,dale,automated,coleman,smog,kincaid,flesch,Conj,Negate,Interrog,Cause,Bio,Health,nonflu,Differ,Money
10,27,p410p411-part2_ch1_610.319770_611.235620_q11_F_T,ah,0.91585034,82.19832808,136.9143382,111.2056251,11.67133051,112.9870737,283.2541867,0.511363636,55.97983422,74.23710983,68.45540635,5.230082428,63.71706482,0.030028815,0.072679323,11.60400712,1.091881453,1,TRUE,410,411,411,Male,Mandarin,-0.736,-0.2953,-1.2651,-0.5023,-1.0126,-0.241,-0.3789,-0.0695,2.283,0.113,0.5912,-1.4312,0.5185,-0.0824,-0.6545,-0.2681,-1.388,8,0,0.4,114.12,0,1,138.7,8,3.2,3,0,0.4,-2.8,-1.5,0,-0.8,114.12,0.125,0,0,0,0,0,0,0.125,0
11,28,p398p399-part1_ch2_394.811850_399.803860_q6_F_F,ew just kidding um he he,4.992018141,119.4286437,532.2266997,188.6693734,128.0658111,127.7448393,269.2294624,0.14516129,25.58508102,87.3733737,69.7379588,12.94550971,49.01430372,0.027434606,0.09878284,15.63750075,1.201918709,6,FALSE,398,399,398,Male,Mandarin,0.3607,0.5979,0.9969,1.0053,2.3369,0.038,-0.4112,-1.9784,-0.7506,2.1541,0.8203,0.5556,-1.0615,-0.2747,0.1486,0.703,-1.2954,6,0,0.3,116.15,0,1,140.7,6,2.4,2,0,0.3,-4.4,-4.43,0,-1.5,116.15,0,0,0,0,0,0,0.142857143,0,0
12,29,p220p221-part1_ch2_621.380330_622.688200_q18_F_F,do you want to try,1.307868481,201.1024592,264.0456318,226.5442948,16.24050128,224.7713068,317.7956447,0.645669291,38.54669341,84.8229206,72.31796554,10.00202709,70.03474832,0.013607445,0.071892532,20.94643911,3.823014373,5,FALSE,220,221,220,Female,Mandarin,-0.5274,2.0701,-0.8715,0.3467,-1.0868,0.3951,-0.572,0.333,0.5164,1.7181,1.1824,-0.1944,1.0165,-0.6027,-0.0201,1.3529,0.9417,9,0,0.45,113.1,0,1,137.7,9,3.6,3.5,0,0.45,-0.3,1.59,0,-0.4,113.1,0.111111111,0,0,0,0,0,0.111111111,0,0
13,30,p200p201-part1_ch2_1111.845400_1121.007776_q8_T_T,how how long is uu take is that because of the the broken bone that you stay overnight,9.162380952,76.78830195,294.3248476,183.0992314,37.58074263,174.1529666,228.1983531,0.499452355,34.44105924,87.75189018,75.31487748,16.86079484,68.92162954,0.020546797,0.072307343,15.43075641,1.964554857,18,TRUE,200,201,200,Female,Mandarin,1.5859,-0.9124,-0.6983,-0.4988,-0.4727,-0.562,-0.7779,-0.4292,0.1067,2.1732,1.7177,1.5718,0.8969,-0.0882,-0.0073,0.025,-0.622,18,0.111111111,0.89,95.51,0,1,122.5,20,7.2,8,0,0.89,5.6,4.64,0,4.4,95.51,0.166666667,0,0.111111111,0.166666667,0.055555556,0,0,0,0
14,31,p388p389-part2_ch1_489.008060_489.438060_q16_T_T,for what,0.43,87.21228056,196.2501522,117.4503347,27.65903915,110.5544809,753.9574761,0.45,48.81411104,69.70706908,64.72983546,5.949972514,63.18598084,0.056558989,0.143115319,5.372376749,4.651162791,2,TRUE,388,389,389,Male,Mandarin,-0.8667,-0.175,-0.9256,-0.3808,-0.5525,-0.287,0.7028,-0.3894,1.5678,-0.5909,-0.0742,-1.2458,0.4614,1.8849,1.5124,-1.7684,1.6069,6,0,0.3,116.15,0,1,140.7,6,2.4,2,0,0.3,-4.4,-4.43,0,-1.5,116.15,0,0,0,0,0,0,0.142857143,0,0
15,32,p402p403-part1_ch2_760.100540_764.121480_q6_T_T,um no ha,4.020929705,81.33920869,218.9871568,194.8596339,28.5721685,202.1829941,66.37871352,0.235588972,21.07470758,79.39226349,63.98975359,16.4310956,41.91348357,0.011100208,0.09307404,-0.599430306,0.746096107,3,TRUE,402,403,402,Female,Mandarin,0.2025,-0.8032,-1.1294,-0.2699,-0.732,-0.032,-1.1498,-1.8045,-1.2274,0.8742,-0.305,1.4612,-2.0056,-0.7887,0.6316,-3.8344,-1.6473,6,0,0.3,116.15,0,1,140.7,6,2.4,2,0,0.3,-4.4,-4.43,0,-1.5,116.15,0,0,0,0,0,0,0.142857143,0,0
16,37,p478p479-part2_ch1_163.067646_166.223174_q8_F_F,number ten have you ever bought anything on ebay,3.15553288,113.3341345,212.4882019,161.4166593,17.3440982,163.4148221,252.5380735,0.695512821,24.91918723,76.0410283,68.96509037,12.54164621,67.49218761,0.019529535,0.079702522,15.44362242,2.852133171,9,FALSE,478,479,479,Male,Mandarin,-0.1334,0.4517,-0.8327,0.4749,-0.8493,0.7124,-0.4495,0.8903,-0.817,0.3933,0.6822,0.4516,0.9242,-0.8609,-0.4384,0.6563,0.0931,1,0,0.05,121.22,0,1,145.8,1,0.4,-0.5,0,0.05,-2.2,-22.21,0,-3.5,121.22,0,0,0,0,0,0,0,0,0
17,39,p386p387-part1_ch2_937.534300_937.932650_q13_F_F,why,0.398344671,133.2826825,218.447851,185.6033937,27.15430694,187.3288322,416.7536404,1,60.52056442,76.7080627,73.49439903,5.429897357,73.56495846,0.023210783,0.070065305,12.24763142,2.510388797,1,FALSE,386,387,386,Female,Mandarin,-0.7721,0.443,-1.1324,-0.45,-0.7728,-0.3129,-0.3446,2.1799,2.7095,0.4572,1.3925,-1.3717,1.3959,0.1094,-0.0763,-0.7414,-0.1627,6,0,0.3,116.15,0,1,140.7,6,2.4,2,0,0.3,-4.4,-4.43,0,-1.5,116.15,0,0,0,0,0,0,0.142857143,0,0
18,40,p264p265-part1_ch2_969.321930_971.101930_q22_F_F,uh whats his whats his name again,1.78,123.2130235,203.7744675,153.8056753,18.27944965,156.0345192,242.3979877,0.662857143,29.24766848,65.40102854,59.45573182,7.475412829,58.52072526,0.027175406,0.085331215,12.96867903,3.93258427,7,FALSE,264,265,264,Male,Mandarin,-0.5035,0.6887,-0.8825,0.3268,-0.8224,0.5729,-0.4728,0.7201,-0.385,-1.26,-1.0161,-0.853,-0.0399,-0.2939,-0.2653,0.0604,1.0022,9,0,0.45,113.1,0,1,137.7,9,3.6,3.5,0,0.45,-0.3,1.59,0,-0.4,113.1,0.111111111,0,0,0,0,0,0.111111111,0,0
19,42,p542p543-part2_ch1_278.066473_279.798789_q11_F_F,oh okay what do you read on your kindle,1.732312925,84.84727982,355.3569091,182.4721773,70.93832607,194.0036546,736.5545447,0.823529412,39.64880233,63.92054876,58.31266025,5.081300099,57.32960455,0.02468202,0.086741214,11.82528201,5.195366189,9,FALSE,542,543,543,Female,Mandarin,-0.4132,-0.7191,-0.349,-0.511,0.4872,-0.1867,0.3903,1.2601,0.6264,-1.5298,-1.3189,-1.4615,-0.3489,0.2185,0.4368,-0.8431,2.0965,16,0.125,6.4,89.08,0,1,118.5,19,6.4,7,2,6.4,1.6,0.93,0,4.8,89.08,0.125,0,0,0,0,0,0,0.125,0
20,44,p362p363-part2_ch1_1519.750230_1522.114780_q22_F_T,have you ever watched a person or pet die,2.364557823,105.6438924,476.1901716,167.975188,46.89527334,154.3218569,577.7977916,0.673819742,31.38390017,77.06812607,67.80505459,8.533287677,63.23375897,0.044045593,0.128654354,11.17894401,3.806208464,9,TRUE,362,363,363,Male,Mandarin,-0.3462,0.2672,0.6762,0.6025,0.0011,0.5405,0.298,0.7773,-0.1718,0.5528,0.4751,-0.5806,0.4666,0.957,1.0675,-0.3705,0.8959,2,0,0.1,120.21,0,1,144.8,2,0.8,0,0,0.1,-6.4,-13.21,0,-3.1,120.21,0,0,0,0,0,0,0.5,0,0
21,47,p258p259-part2_ch1_88.550023_90.760023_q20_F_F,so do you live in a big apartment,2.21,161.6193826,292.8233666,210.8925312,29.24254545,206.7189582,299.6130913,0.724770642,30.9834218,73.28919788,68.08238588,11.3986794,67.19602526,0.015124961,0.05291373,20.48758391,3.619909502,8,FALSE,258,259,259,Female,Mandarin,-0.2847,1.1228,-0.7069,0.0421,-0.7127,0.0538,-0.6138,0.7453,-0.2384,-0.0741,0.426,0.1653,0.7114,-0.4902,-0.6039,1.2425,0.7708,9,0,0.45,113.1,0,1,137.7,9,3.6,3.5,0,0.45,-0.3,1.59,0,-0.4,113.1,0.111111111,0,0,0,0,0,0.111111111,0,0
22,50,p270p271-part1_ch2_363.717710_364.188600_q15_T_T,mhm,0.470884354,210.4325543,238.1381356,222.3354633,7.582609892,223.1738924,176.3242529,0.863636364,20.25012963,66.18717003,63.54159438,9.728559448,64.07959757,0.00678577,0.035175598,29.04188889,2.123663681,1,TRUE,270,271,270,Female,Mandarin,-0.7526,2.2939,-1.0198,0.2648,-1.336,0.3649,-0.8971,1.4691,-1.3097,-1.1776,-0.385,-0.2648,0.3765,-1.1086,-1.1496,3.302,-0.4881,8,0.25,9.95,46.44,2,1,90.7,14,13.2,5,3,9.95,6.7,10.11,0,8.8,46.44,0,0,0.125,0,0,0,0.125,0,0
23,51,p204p205-part2_ch1_495.959570_497.605270_q14_T_T,ah yourself mm,1.64569161,118.6466434,591.1957572,231.3551287,179.6773255,138.6160103,734.1966068,0.223602484,25.90043546,55.03059621,46.19920333,9.073359453,34.01642534,0.079238914,0.155963462,4.908903082,1.822941784,3,TRUE,204,205,205,Male,Mandarin,-0.5396,0.5791,1.3343,1.836,3.8221,0.2436,0.6574,-1.5695,-0.7191,-2.8714,-3.3837,-0.4415,-2.6733,3.5667,1.9077,-1.88,-0.7729,9,0,0.45,113.1,0,1,137.7,9,3.6,3.5,0,0.45,-0.3,1.59,0,-0.4,113.1,0.111111111,0,0,0,0,0,0.111111111,0,0
24,52,p398p399-part2_ch1_184.317030_185.107010_q6_F_F,oh snap,0.789977324,155.7754872,565.4246729,225.0216354,95.87567036,206.234737,1593.718218,0.56,32.00551067,71.02049316,63.56195356,9.761673563,61.92570716,0.042340672,0.128401325,9.621141877,2.531718239,2,FALSE,398,399,399,Female,Mandarin,-0.6667,0.9826,0.853,0.3171,1.2048,0.0446,2.3601,-0.1136,-0.1364,-0.4266,-0.3814,-0.2563,0.1451,1.5279,1.7184,-1.3737,-0.1448,6,0,0.3,116.15,0,1,140.7,6,2.4,2,0,0.3,-4.4,-4.43,0,-1.5,116.15,0,0,0,0,0,0,0.142857143,0,0
25,54,p252p253-part2_ch1_1656.603840_1659.204320_q24_F_T,you would like describe that situation,2.60047619,85.87578449,554.749343,229.3403043,78.93606816,226.9660136,997.9066045,0.463035019,29.71463733,76.08417827,66.69750384,12.21904879,62.30119765,0.036465783,0.082515851,9.392000798,2.307269731,6,TRUE,252,253,253,Female,Mandarin,-0.1796,-0.6944,0.7919,0.4011,0.7174,0.4366,0.9909,-0.619,-0.3651,0.3602,0.1786,0.3765,0.1854,1.0922,0.3068,-1.4289,-0.3337,9,0,0.45,113.1,0,1,137.7,9,3.6,3.5,0,0.45,-0.3,1.59,0,-0.4,113.1,0.111111111,0,0,0,0,0,0.111111111,0,0
26,56,p548p549-part2_ch1_263.586655_265.432891_q4_F_F,so have you ever broken a bone,1.846235828,96.23486401,218.2054524,126.6560291,26.58221041,119.4676581,216.9955926,0.745856354,25.5170664,71.12401084,63.50142911,10.03211354,61.01841784,0.021798342,0.075737478,14.25417776,3.791498299,7,FALSE,548,549,549,Male,Mandarin,-0.4856,0.0414,-0.8,-0.2016,-0.5835,-0.1185,-0.5312,1.1527,-0.7574,-0.3708,-0.2936,-0.1946,0.2285,-0.6927,-0.5604,0.3699,0.8835,16,0.125,6.4,89.08,0,1,118.5,19,6.4,7,2,6.4,1.6,0.93,0,4.8,89.08,0.125,0,0,0,0,0,0,0.125,0
27,58,p390p391-part1_ch2_10.570000_12.770000_q1_T_F,yeah i mean specific city,2.2,128.7760764,325.9066318,207.9079228,44.36036626,199.7301698,336.5044605,0.520737327,35.22567325,77.76993259,68.04502654,10.50424632,63.70707961,0.02157732,0.069146427,12.4901963,2.272727273,5,FALSE,390,391,390,Female,Mandarin,-0.2874,0.3349,-0.5176,-0.016,-0.2776,-0.0784,-0.529,-0.3182,0.185,0.6222,0.4193,-0.065,0.3365,-0.0118,-0.1045,-0.683,-0.3627,6,0,0.3,116.15,0,1,140.7,6,2.4,2,0,0.3,-4.4,-4.43,0,-1.5,116.15,0,0,0,0,0,0,0.142857143,0,0
28,59,p232p233-part1_ch2_650.759270_654.409270_q13_T_T,like not even uh getting ticket or anything,3.65,81.53560858,449.6322973,135.4305351,34.58445795,125.6337671,467.7283117,0.657458564,31.50203127,73.42103431,66.60928509,10.46781953,65.35707462,0.047846042,0.072415661,13.3759828,2.191780822,8,TRUE,232,233,232,Male,Mandarin,-0.0003,-0.3112,0.5243,-0.0308,-0.3532,-0.0019,0.045,0.692,-0.16,-0.0138,0.2615,-0.0824,0.6948,1.2388,-0.6626,0.1585,-0.4625,9,0,0.45,113.1,0,1,137.7,9,3.6,3.5,0,0.45,-0.3,1.59,0,-0.4,113.1,0.111111111,0,0,0,0,0,0.111111111,0,0
29,60,p248p249-part1_ch2_14.405420_18.712160_q1_T_T,"[""um what's the climate of the city""]",4.306734694,80.78895413,588.7275233,170.1807895,64.36933996,184.9456034,413.1170111,0.384074941,25.67818591,79.74382389,62.8991903,14.41364412,53.02985495,0.018875442,0.069034972,15.91383494,1.625361323,7,TRUE,248,249,248,Female,Mandarin,0.2794,-0.8164,0.9863,-0.7502,0.2982,-0.3579,-0.3529,-1.0306,-0.7679,0.9289,-0.4998,0.9417,-0.811,-0.2121,-0.108,0.1413,-0.9074,9,0,0.45,113.1,0,1,137.7,9,3.6,3.5,0,0.45,-0.3,1.59,0,-0.4,113.1,0.111111111,0,0,0,0,0,0.111111111,0,0
30,62,p536p537-part1_ch2_1171.118005_1171.558005_q14_F_F,you,0.44,115.6341373,263.8164129,157.3416811,51.04521682,133.1496214,738.7667634,0.658536585,29.04545479,67.05577312,63.30230133,13.12490738,63.54161235,0.039764401,0.086157046,15.21895711,2.272727273,1,FALSE,536,537,536,Male,Mandarin,-0.864,0.5069,-0.539,0.3956,0.1205,0.1402,0.6679,0.6976,-0.4052,-1.0029,-0.3291,0.6018,0.4997,0.6396,-0.2399,0.6022,-0.3944,16,0.125,6.4,89.08,0,1,118.5,19,6.4,7,2,6.4,1.6,0.93,0,4.8,89.08,0.125,0,0,0,0,0,0,0.125,0
31,64,p376p377-part2_ch1_67.158910_69.108910_q5_T_T,how old were you when they divorced,1.95,100.9941733,624.5674322,253.3026418,80.1573871,234.2897529,800.784686,0.786458333,27.60382525,65.33925738,58.33521016,9.67956429,55.10040059,0.00940254,0.04947914,20.79678489,3.58974359,7,TRUE,376,377,377,Female,Mandarin,-0.3546,-0.3317,1.1914,0.8675,0.7525,0.575,0.5379,1.0669,-0.5757,-1.3094,-1.3149,-0.2774,-0.5884,-0.9145,-0.7096,1.3169,0.7455,6,0,0.3,116.15,0,1,140.7,6,2.4,2,0,0.3,-4.4,-4.43,0,-1.5,116.15,0,0,0,0,0,0,0.142857143,0,0
32,65,p412p413-part1_ch2_657.963150_670.256390_q9_F_F,um um so who ended your last romantic relationship,12.29324263,80.40318545,570.3485784,209.1903986,71.93848766,178.9169783,158.107459,0.221044046,19.62841378,78.4452226,65.39766028,18.79692064,36.29504644,0.016101315,0.058167172,17.11757119,0.732109523,9,FALSE,412,413,412,Female,Mandarin,2.4282,-0.8257,0.8812,0.009,0.516,-0.4719,-0.939,-1.8804,-1.3717,0.7271,-0.0535,2.0704,-2.6094,-0.4178,-0.4423,0.4311,-1.659,8,0,0.4,114.12,0,1,138.7,8,3.2,3,0,0.4,-2.8,-1.5,0,-0.8,114.12,0.125,0,0,0,0,0,0,0.125,0
33,67,p482p483-part1_ch2_81.831170_83.390390_q3_F_F,what kind of industry,1.559229025,189.7510416,557.2946787,228.9575213,68.07894338,213.8441374,742.0926873,0.638157895,39.19373637,77.18443698,70.31117884,10.42046754,65.46647377,0.019241831,0.075869105,17.94584174,2.565370408,4,FALSE,482,483,482,Female,Mandarin,-0.4598,1.7977,0.8065,0.3937,0.4049,0.1885,0.4031,0.2938,0.581,0.5312,0.824,-0.0866,0.5256,-0.1849,0.1023,0.6305,-0.1165,1,0,0.05,121.22,0,1,145.8,1,0.4,-0.5,0,0.05,-2.2,-22.21,0,-3.5,121.22,0,0,0,0,0,0,0,0,0
34,71,p322p323-part2_ch1_266.098640_269.718640_q8_F_F,so how many days how how many nights did you spend,3.62,96.69794178,508.5279365,135.324499,46.28957837,125.4779953,382.4150201,0.467966574,27.02200913,77.63310749,70.12211013,11.58015175,66.50722302,0.028638119,0.081745509,14.43903502,3.038674033,11,FALSE,322,323,323,Male,Mandarin,-0.0084,0.0526,0.8613,-0.0329,-0.0164,-0.0048,-0.151,-0.2957,-0.6072,0.6406,0.8889,0.204,0.8184,-0.1855,-0.3756,0.4144,0.2501,9,0.111111111,7.59,96.18,0,1,125.7,11,3.6,3.5,2,7.59,1.4,3.51,0,2.1,96.18,0.111111111,0.111111111,0.111111111,0,0,0,0.111111111,0.111111111,0
35,72,p262p263-part1_ch2_96.009690_100.388190_q5_F_F,uh what kind of effect do you think it has on you,4.378503401,76.22584609,577.7827357,186.3402288,58.67942092,184.2879663,646.7235257,0.631336406,30.1671511,75.19642764,67.8272385,9.735755335,62.20790887,0.042038939,0.065917583,12.960434,2.740662482,12,FALSE,262,263,262,Female,Mandarin,0.2988,-0.9259,0.9237,-0.4357,0.1344,-0.3703,0.1839,0.2583,-0.3199,0.2223,0.3804,-0.2629,0.1754,1.5055,-0.2039,-0.5698,0.031,9,0,0.45,113.1,0,1,137.7,9,3.6,3.5,0,0.45,-0.3,1.59,0,-0.4,113.1,0.111111111,0,0,0,0,0,0.111111111,0,0
36,73,p248p249-part1_ch2_606.235310_608.102660_q17_T_F,okay do you like it,1.867346939,101.1691177,290.5935755,177.7662151,47.28875632,199.4848601,371.7965772,0.349726776,28.61501581,73.17098762,63.66537687,14.56270236,43.83173948,0.023752327,0.08659707,11.89655721,2.677595628,5,FALSE,248,249,248,Female,Mandarin,-0.3769,-0.3275,-0.7196,-0.6026,-0.1934,-0.083,-0.4479,-1.2096,-0.4748,-0.0924,-0.3629,0.98,-1.7994,0.1495,0.4323,-0.8259,-0.0221,9,0,0.45,113.1,0,1,137.7,9,3.6,3.5,0,0.45,-0.3,1.59,0,-0.4,113.1,0.111111111,0,0,0,0,0,0.111111111,0,0
37,75,p472p473-part2_ch1_798.286790_798.783740_q8_F_T,mm hmm,0.496938776,83.71154238,118.9308246,96.90864625,7.100619115,96.23963515,168.5293508,0.673913043,51.04681505,72.81945592,67.66181569,4.718908651,67.63392153,0.021279544,0.132558458,8.287847812,4.024640657,2,TRUE,472,473,473,Male,Mandarin,-0.8487,-0.259,-1.368,-0.7805,-1.1441,-0.5576,-0.6426,0.7777,1.7906,-0.1073,0.4495,-1.5628,0.9394,-0.7311,1.1877,-1.0665,1.0797,1,0,0.05,121.22,0,1,145.8,1,0.4,-0.5,0,0.05,-2.2,-22.21,0,-3.5,121.22,0,0,0,0,0,0,0,0,0
38,76,p420p421-part2_ch1_188.886930_191.645890_q14_F_T,who do you love more your dad or your mom,2.758956916,73.46328291,310.1516613,185.5049228,74.72259087,221.5070112,381.0067301,0.650735294,29.6276406,61.78356993,55.92977026,6.841388896,53.76113632,0.024446339,0.066697478,12.52403274,3.624558231,10,TRUE,420,421,421,Female,Mandarin,-0.137,-0.9922,-0.6077,-0.452,0.5961,0.3333,-0.4267,0.3594,-0.3737,-1.8619,-1.7445,-1.0083,-0.7324,0.201,-0.1799,-0.6748,0.7747,8,0,0.4,114.12,0,1,138.7,8,3.2,3,0,0.4,-2.8,-1.5,0,-0.8,114.12,0.125,0,0,0,0,0,0,0.125,0
